,title,studio,domestic_gross(mils),foreign_gross(mils),year,world_wide_gross(mils)
1652,Venus in Fur,IFC,0.374,8.0,2014,8.374
1653,Filth,Magn.,0.0344,8.3,2014,8.3344
1654,What If (2014),CBS,3.5,4.4,2014,7.9
1655,Finding Fanny,FIP,0.616,7.1,2014,7.716
1656,Pride (2014),CBS,1.4,6.1,2014,7.5
1657,Chinese Puzzle,Cohen,0.339,7.1,2014,7.439
1658,A Long Way Down,Magn.,0.0133,7.2,2014,7.2133
1660,"Two Days, One Night",IFC,1.4,5.4,2014,6.8
1661,A Letter to Momo,GK,0.0717,6.7,2014,6.7717
1663,Le Chef,Cohen,0.343,5.9,2014,6.243
1664,Mas Negro Que La Noche,LGF,0.87,5.2,2014,6.07
1665,French Gigolo (Cliente),IFC,0.003,6.0,2014,6.003
1666,The Trip to Italy,IFC,2.9,3.0,2014,5.9
1667,The Immigrant,Wein.,2.0,3.8,2014,5.8
1668,Wish I Was Here,Focus,3.6,1.9,2014,5.5
1669,Under the Skin (2014),A24,2.6,2.8,2014,5.4
1671,The French Minister,IFC,0.012,5.1,2014,5.112
1672,Ernest & Celestine,GK,0.262,4.8,2014,5.062
1673,Tracks (2014),Wein.,0.51,4.4,2014,4.91
1674,The Love Punch,KE,0.267,4.5,2014,4.767
1678,Diplomacy,Zeit.,0.231,3.7,2014,3.931
1679,Horns,RTWC,0.174,3.7,2014,3.874
1682,Ragnarok,Magn.,0.0014,3.7,2014,3.7014
1683,Veronica Mars,WB,3.3,0.195,2014,3.495
1687,Enemy,A24,1.0,2.4,2014,3.4
1688,Words and Pictures,RAtt.,2.2,1.2,2014,3.4
1689,The Protector 2,Magn.,0.0025,3.3,2014,3.3025
1690,The Rover,A24,1.1,2.1,2014,3.2
1691,The Mystery of Happiness,Strand,0.0085,3.2,2014,3.2085
1694,The German Doctor,Gold.,0.418,2.6,2014,3.018
1695,Citizenfour,RTWC,2.8,0.202,2014,3.002
1696,A Coffee in Berlin,MBox,0.15,2.6,2014,2.75
1699,Living is Easy with Eyes Closed,Outs,0.0116,2.6,2014,2.6116
1700,A Five Star Life,MBox,0.307,2.2,2014,2.507
1704,Blood Ties (2014),RAtt.,0.0425,2.4,2014,2.4425
1705,The Guest (2014),PH,0.333,2.0,2014,2.333
1706,Life of Riley,KL,0.0116,2.3,2014,2.3116
1709,Marius,KL,0.0098,2.2,2014,2.2098
1710,"Men, Women & Children",Par.,0.706,1.5,2014,2.206
1712,Nymphomaniac: Volume II,Magn.,0.327,1.9,2014,2.227
1715,"20,000 Days on Earth",Drft.,0.28,1.8,2014,2.08
1721,Make Your Move,HTR,0.125,1.3,2014,1.425
1722,Bright Days Ahead,Trib.,0.0218,1.4,2014,1.4218
1725,Postman Pat: The Movie,Shout!,0.0015,1.3,2014,1.3015
1726,Just a Sigh,Distrib.,0.0755,1.2,2014,1.2755
1728,For a Woman,FM,0.032299,1.2,2014,1.232299
1730,Why Don't You Play in Hell,Drft.,0.0285,1.2,2014,1.2285
1732,The Way He Looks,Strand,0.101,1.1,2014,1.201
1733,Ilo Ilo,FM,0.0568,1.1,2014,1.1568
1738,Jackpot,DR,0.0008,1.1,2014,1.1008
1742,Borgman,Drft.,0.0575,0.952,2014,1.0095
1743,The Disappearance of Eleanor Rigby,Wein.,0.588,0.397,2014,0.985
1747,Age of Uprising: The Legend of Michael Kohlhaas (U.S. only),MBox,0.0033,0.797,2014,0.8003
1748,The Zero Theorem,Ampl.,0.258,0.513,2014,0.771
1761,Archipelago,KL,0.0078,0.492,2014,0.4998
1763,The Congress,Drft.,0.138,0.318,2014,0.456
1765,Bjork - Biophilia Live,CP,0.128,0.306,2014,0.434
1776,The Last Sentence,MBox,0.0625,0.265,2014,0.3275
1780,7 Boxes,BGP,0.0381,0.267,2014,0.3051
1792,Gabrielle (2014),EOne,0.0055,0.222,2014,0.2275
1800,Unrelated,KL,0.0045,0.154,2014,0.1585
1802,May in the Summer,Cohen,0.022,0.112,2014,0.134
1805,Life's a Breeze,Magn.,0.0035,0.0997,2014,0.1032
1835,Policeman,Crnth,0.0113,0.027,2014,0.0383
1872,Star Wars: The Force Awakens,BV,936.7,0.0011316,2015,936.7011316
1873,Jurassic World,Uni.,652.3,0.0010194,2015,652.3010194
1874,Furious 7,Uni.,353.0,0.001163,2015,353.001163
1875,Avengers: Age of Ultron,BV,459.0,946.4,2015,1405.4
1876,Minions,Uni.,336.0,823.4,2015,1159.4
1877,Spectre,Sony,200.1,680.6,2015,880.7
1878,Inside Out,BV,356.5,501.1,2015,857.6
1879,Mission: Impossible - Rogue Nation,Par.,195.0,487.7,2015,682.7
1880,The Hunger Games: Mockingjay - Part 2,LGF,281.7,371.7,2015,653.4
1881,The Martian,Fox,228.4,401.7,2015,630.1
1882,Fifty Shades of Grey,Uni.,166.2,404.8,2015,571.0
1883,Cinderella (2015),BV,201.2,342.4,2015,543.6
1884,The Revenant,Fox,183.6,349.3,2015,532.9
1885,Ant-Man,BV,180.2,339.1,2015,519.3
1886,Hotel Transylvania 2,Sony,169.7,305.1,2015,474.8
1887,San Andreas,WB (NL),155.2,318.8,2015,474.0
1888,Terminator: Genisys,Par.,89.8,350.8,2015,440.6
1889,Kingsman: The Secret Service,Fox,128.3,286.1,2015,414.4
1890,Home (2015),Fox,177.4,208.6,2015,386.0
1891,Mad Max: Fury Road,WB,153.6,224.8,2015,378.4
1892,The Good Dinosaur,BV,123.1,209.1,2015,332.2
1893,Taken 3,Fox,89.3,237.2,2015,326.5
1894,The SpongeBob Movie: Sponge Out of Water,Par.,163.0,162.2,2015,325.2
1895,Maze Runner: The Scorch Trials,Fox,81.7,230.6,2015,312.3
1896,The Divergent Series: Insurgent,LG/S,130.199999,167.1,2015,297.299999
1897,Pitch Perfect 2,Uni.,184.3,103.2,2015,287.5
1898,Paddington,W/Dim.,76.3,191.8,2015,268.1
1899,Mojin: The Lost Legend,WGUSA,1.2,258.1,2015,259.3
1900,Lost in Hong Kong,WGUSA,1.3,255.0,2015,256.3
1901,The Peanuts Movie,Fox,130.199999,116.1,2015,246.299999
1902,Pixels,Sony,78.7,166.1,2015,244.8
1903,Daddy's Home,Par.,150.4,92.4,2015,242.8
1904,Spy,Fox,110.8,124.8,2015,235.6
1905,Alvin and the Chipmunks: The Road Chip,Fox,85.9,148.9,2015,234.8
1906,Goodbye Mr. Loser,CL,1.3,226.8,2015,228.1
1907,Ted 2,Uni.,81.5,135.2,2015,216.7
1908,Tomorrowland,BV,93.4,115.7,2015,209.1
1909,Everest (2015),Uni.,43.5,159.9,2015,203.4
1910,Straight Outta Compton,Uni.,161.2,40.4,2015,201.6
1911,The Intern,WB,75.8,118.8,2015,194.6
1912,Jupiter Ascending,WB,47.4,136.6,2015,184.0
1913,Creed,WB (NL),109.8,63.8,2015,173.6
1914,Fantastic Four,Fox,56.1,111.9,2015,168.0
1915,Bridge of Spies,BV,72.3,93.2,2015,165.5
1916,Focus (2015),WB,53.9,105.2,2015,159.1
1917,The Hateful Eight,Wein.,54.1,101.6,2015,155.7
1918,Goosebumps,Sony,80.1,70.1,2015,150.2
1919,The Last Witch Hunter,LG/S,27.4,119.6,2015,147.0
1920,The Taking of Tiger Mountain,WGUSA,0.229,141.4,2015,141.629
1921,Trainwreck,Uni.,110.2,30.6,2015,140.8
1922,Mr. Six,CL,1.4,137.8,2015,139.2
1923,Point Break (2015),WB,28.8,104.9,2015,133.7
1924,The Big Short,Par.,70.3,63.2,2015,133.5
1925,Pan,WB,35.1,93.3,2015,128.4
1926,Wolf Totem,Sony,0.211,125.6,2015,125.811
1927,Magic Mike XXL,WB,66.0,56.5,2015,122.5
1928,Dragon Blade,LGP,0.0741,121.5,2015,121.5741
1929,Seventh Son,Uni.,17.2,97.0,2015,114.2
1930,Insidious Chapter 3,Focus,52.2,60.8,2015,113.0
1931,Get Hard,WB,90.4,21.4,2015,111.8
1932,The Man From U.N.C.L.E.,WB,45.4,64.4,2015,109.8
1933,Paul Blart: Mall Cop 2,Sony,71.0,36.6,2015,107.6
1934,Shaun the Sheep Movie,LGF,19.4,86.8,2015,106.2
1935,Sisters,Uni.,87.0,18.0,2015,105.0
1936,Vacation,WB (NL),58.9,46.0,2015,104.9
1937,Chappie,Sony,31.6,70.5,2015,102.1
1938,Joy,Fox,56.5,44.7,2015,101.2
1939,Black Mass,WB,62.6,37.2,2015,99.8
1940,Devil and Angel (E Gun Tian Shi),CL,0.131,98.5,2015,98.631
1941,The Visit,Uni.,65.2,33.2,2015,98.4
1942,Spotlight,ORF,45.1,53.2,2015,98.3
1943,Poltergeist (2015),Fox,47.4,48.0,2015,95.4
1944,In the Heart of the Sea,WB,25.0,68.9,2015,93.9
1945,Southpaw,Wein.,52.4,39.5,2015,91.9
1946,The Second Best Exotic Marigold Hotel,FoxS,33.1,52.9,2015,86.0
1947,Paper Towns,Fox,32.0,53.5,2015,85.5
1948,Sicario,LGF,46.9,38.0,2015,84.9
1949,Hitman: Agent 47,Fox,22.5,59.9,2015,82.4
1950,The Wedding Ringer,SGem,64.5,15.3,2015,79.8
1951,Paranormal Activity: The Ghost Dimension,Par.,18.3,60.6,2015,78.9
1952,Crimson Peak,Uni.,31.1,43.6,2015,74.7
1953,The Transporter Refueled,EC,16.0,56.6,2015,72.6
1954,Run All Night,WB,26.5,45.2,2015,71.7
1956,The Age of Adaline,LGF,42.6,23.0,2015,65.6
1957,The Danish Girl,Focus,11.1,53.1,2015,64.2
1958,Unfriended,Uni.,32.5,31.6,2015,64.1
1959,The Longest Ride,Fox,37.4,25.5,2015,62.9
1960,Brooklyn,FoxS,38.3,23.8,2015,62.1
1961,Dragon Ball Z: Resurrection 'F',FUN,8.0,53.8,2015,61.8
1962,Woman in Gold,Wein.,33.299999,28.3,2015,61.599999
1963,Krampus,Uni.,42.7,18.8,2015,61.5
1964,The Walk,TriS,10.1,51.0,2015,61.1
1965,The Perfect Guy,SGem,57.0,3.2,2015,60.2
1966,The Gift (2015),STX,43.8,15.2,2015,59.0
1967,No Escape,Wein.,27.3,27.1,2015,54.4
1968,Sinister 2,Focus,27.7,25.1,2015,52.8
1969,Prem Ratan Dhan Payo,FIP,4.4,48.2,2015,52.6
1970,The Boy Next Door,Uni.,35.4,17.0,2015,52.4
1971,The Night Before,Sony,43.0,9.3,2015,52.3
1972,Hot Pursuit,WB (NL),34.6,17.1,2015,51.7
1973,The 100-Year Old Man Who Climbed Out the Window and Disappeared,MBox,0.944,50.2,2015,51.144
1974,The Himalayas,CJ,0.697,49.8,2015,50.497
1976,Entourage,WB,32.4,16.9,2015,49.3
1977,The Woman in Black 2: Angel of Death,Rela.,26.5,22.4,2015,48.9
1978,Concussion (2015),Sony,34.5,14.1,2015,48.6
1979,Mortdecai,LGF,7.7,39.6,2015,47.3
1980,Coming Home (2015),SPC,0.378,46.4,2015,46.778
1981,"McFarland, USA",BV,44.5,1.2,2015,45.7
1982,Max (2015),WB,42.7,1.3,2015,44.0
1983,Still Alice,SPC,18.8,25.1,2015,43.9
1984,The DUFF,LGF,34.0,9.5,2015,43.5
1985,Legend,Uni.,1.9,41.1,2015,43.0
1986,The Gallows,WB (NL),22.8,20.2,2015,43.0
1987,Love the Coopers,LGF,26.3,16.1,2015,42.4
1988,The Lady in the Van,SPC,10.0,31.4,2015,41.4
1989,Ricki and the Flash,TriS,26.8,14.5,2015,41.3
1990,Carol,Wein.,12.7,27.6,2015,40.3
1991,The Lazarus Effect,Rela.,25.8,12.6,2015,38.4
1992,The Water Diviner,WB,4.2,34.0,2015,38.2
1993,A Walk in the Woods,BG,29.5,8.0,2015,37.5
1994,Ex Machina,A24,25.4,11.4,2015,36.8
1995,Burnt,Wein.,13.7,23.0,2015,36.7
1996,Room,A24,14.7,20.7,2015,35.4
1997,The Secret in their Eyes (2015),STX,20.2,14.7,2015,34.9
1998,Steve Jobs,Uni.,17.8,16.7,2015,34.5
1999,Victor Frankenstein,Fox,5.8,28.5,2015,34.3
2000,Project Almanac,Par.,22.3,10.9,2015,33.2
2001,Self/Less,Focus,12.3,18.2,2015,30.5
2002,Far from the Madding Crowd,FoxS,12.2,18.0,2015,30.2
2003,Mr. Holmes,RAtt.,17.7,11.6,2015,29.3
2004,Love & Mercy,RAtt.,12.6,16.1,2015,28.7
2005,Irrational Man,SPC,4.0,23.4,2015,27.4
2006,American Ultra,LGF,14.4,12.7,2015,27.1
2007,Wild Tales,SPC,3.1,23.9,2015,27.0
2008,Aloha,Sony,21.1,5.2,2015,26.3
2009,"Love, Rosie",TFA,0.0204,25.6,2015,25.6204
2010,The 33,WB,12.2,12.7,2015,24.9
2011,Capture the Flag,Par.,0.0067,24.6,2015,24.6067
2012,The Gunman,ORF,10.7,13.5,2015,24.2
2013,Go Away Mr. Tumor,CL,0.287,21.5,2015,21.787
2015,Blackhat,Uni.,8.0,11.6,2015,19.6
2016,Dope,ORF,17.5,0.48,2015,17.98
2017,Brothers: Blood Against Blood,FIP,0.614,17.2,2015,17.814
2018,While We're Young,A24,7.6,9.7,2015,17.3
2019,Monkey Kingdom,BV,16.399999,0.711,2015,17.110999
2020,Macbeth (2015),Wein.,1.1,15.2,2015,16.3
2021,Scouts Guide to the Zombie Apocalypse,Par.,3.7,12.4,2015,16.1
2022,Suffragette,Focus,4.7,11.3,2015,16.0
2024,Unfinished Business,Fox,10.2,4.2,2015,14.4
2025,Do You Believe?,PFR,13.0,1.4,2015,14.4
2027,Strange Magic,BV,12.4,1.2,2015,13.6
2028,Hot Tub Time Machine 2,Par.,12.3,0.767,2015,13.067
2029,Child 44,LG/S,1.2,11.7,2015,12.9
2030,We Are Your Friends,WB,3.6,7.5,2015,11.1
2031,Danny Collins,BST,5.6,5.2,2015,10.8
2032,Kung Fu Killer,WGUSA,0.13,10.0,2015,10.13
2033,A Little Chaos,FCW,0.558,9.5,2015,10.058
2034,The Loft,ORF,6.0,4.099999,2015,10.099999
2035,The Young & Prodigious T.S. Spivet,Wein.,0.174,9.3,2015,9.474
2036,Shanghai,Wein.,0.0464,9.2,2015,9.2464
2038,Me and Earl and the Dying Girl,FoxS,6.8,2.3,2015,9.1
2040,Shaandaar,FIP,0.522,7.8,2015,8.322
2041,Trumbo (2015),BST,7.9,0.378,2015,8.278
2045,Grandma (2015),SPC,7.0,0.107,2015,7.107
2050,What We Do in the Shadows,U/P,3.5,2.8,2015,6.3
2051,Anomalisa,Par.,3.8,1.9,2015,5.7
2052,Pawn Sacrifice,BST,2.4,3.1,2015,5.5
2053,Serena,Magn.,0.176,4.9,2015,5.076
2054,Mr. X,FIP,0.045,5.0,2015,5.045
2056,Back to the Future Day,UHE,1.7,3.2,2015,4.9
2057,Trash,FCW,0.0175,4.8,2015,4.8175
2059,"Buen Dia, Ramon",FIP,0.154,4.5,2015,4.654
2060,Hamari Adhuri Kahani,FIP,0.235,4.2,2015,4.435
2062,Escobar: Paradise Lost,RTWC,0.196,3.6,2015,3.796
2065,By the Sea,Uni.,0.538,2.8,2015,3.338
2066,Sleeping with Other People,IFC,0.819,2.4,2015,3.219
2068,Jimmy's Hall,SPC,0.561,2.6,2015,3.161
2071,Remember (Canada Release),EOne,0.547,2.5,2015,3.047
2075,Captive (2015),Par.,2.6,0.218,2015,2.818
2076,He Named Me Malala,FoxS,2.7,0.0971,2015,2.7971
2081,Jem and the Holograms,Uni.,2.2,0.149,2015,2.349
2082,Beloved Sisters,MBox,0.054,2.2,2015,2.254
2083,The Riot Club,IFC,0.0077,2.1,2015,2.1077
2092,Janis: Little Girl Blue,FR,0.41,1.2,2015,1.61
2093,'71,RAtt.,1.3,0.355,2015,1.655
2100,Maps to the Stars,FCW,0.351,0.988,2015,1.339
2108,Cartel Land,Orch.,0.704,0.422,2015,1.126
2119,The D Train,IFC,0.673,0.102,2015,0.775
2127,Black Panthers: Vanguard of the Revolution,PBS,0.517,0.0672,2015,0.5842
2235,Love Thy Nature,ITL,0.0411,0.0118,2015,0.0529
2322,Captain America: Civil War,BV,408.1,745.2,2016,1153.3
2323,Rogue One: A Star Wars Story,BV,532.2,523.9,2016,1056.1
2324,Finding Dory,BV,486.3,542.3,2016,1028.6
2325,Zootopia,BV,341.3,682.5,2016,1023.8
2326,The Jungle Book (2016),BV,364.0,602.5,2016,966.5
2327,The Secret Life of Pets,Uni.,368.4,507.1,2016,875.5
2328,Batman v Superman: Dawn of Justice,WB,330.4,543.3,2016,873.7
2329,Fantastic Beasts and Where To Find Them,WB,234.0,580.0,2016,814.0
2330,Deadpool,Fox,363.1,420.0,2016,783.1
2331,Suicide Squad,WB,325.1,421.7,2016,746.8
2332,Doctor Strange,BV,232.6,445.1,2016,677.7
2333,Moana,BV,248.8,394.6,2016,643.4
2334,Sing,Uni.,270.4,363.8,2016,634.2
2335,The Mermaid (Mei ren yu),Sony,3.2,550.6,2016,553.8
2336,X-Men: Apocalypse,Fox,155.4,388.5,2016,543.9
2337,Kung Fu Panda 3,Fox,143.5,377.6,2016,521.1
2338,La La Land,LG/S,151.1,295.0,2016,446.1
2339,Warcraft,Uni.,47.4,386.3,2016,433.7
2340,Jason Bourne,Uni.,162.4,253.1,2016,415.5
2341,Ice Age: Collision Course,Fox,64.099999,344.5,2016,408.599999
2342,Independence Day: Resurgence,Fox,103.1,286.5,2016,389.6
2343,Monster Hunt,FR,0.0328,385.3,2016,385.3328
2344,The Legend of Tarzan,WB,126.6,230.1,2016,356.7
2345,The Angry Birds Movie,Sony,107.5,244.8,2016,352.3
2346,Trolls,Fox,153.7,193.2,2016,346.9
2347,Star Trek Beyond,Par.,158.8,184.6,2016,343.4
2348,Now You See Me 2,LG/S,65.099999,269.8,2016,334.899999
2349,The Conjuring 2,WB (NL),102.5,217.9,2016,320.4
2350,Passengers (2016),Sony,100.0,203.1,2016,303.1
2351,Dangal,UTV,12.4,290.5,2016,302.9
2352,Alice Through the Looking Glass,BV,77.0,222.4,2016,299.4
2353,Miss Peregrine's Home for Peculiar Children,Fox,87.2,209.2,2016,296.4
2354,Teenage Mutant Ninja Turtles: Out of the Shadows,Par.,82.1,163.6,2016,245.7
2355,Assassin's Creed,Fox,54.6,186.3,2016,240.9
2356,Sully,WB,125.1,115.7,2016,240.8
2357,Hidden Figures,Fox,169.6,66.3,2016,235.9
2358,Ghostbusters (2016),Sony,128.4,100.8,2016,229.2
2359,Inferno,Sony,34.3,185.7,2016,220.0
2360,Central Intelligence,WB (NL),127.4,89.5,2016,216.9
2361,Bridget Jones's Baby,Uni.,24.3,187.7,2016,212.0
2362,Me Before You,WB (NL),56.2,152.1,2016,208.3
2363,London Has Fallen,Focus,62.5,143.2,2016,205.7
2364,Arrival,Par.,100.5,102.8,2016,203.3
2365,The Monkey King 2 in 3D,CL,0.71,193.0,2016,193.71
2366,Bad Moms,STX,113.3,70.7,2016,184.0
2367,Storks,WB,72.7,110.7,2016,183.4
2368,The BFG,BV,55.5,127.9,2016,183.4
2369,The Divergent Series: Allegiant,LG/S,66.2,113.1,2016,179.3
2370,Hacksaw Ridge,LGF,67.2,108.1,2016,175.3
2371,The Girl on the Train (2016),Uni.,75.4,97.8,2016,173.2
2372,Operation Mekong,WGUSA,0.8,172.3,2016,173.1
2373,The Huntsman: Winter's War,Uni.,48.4,116.6,2016,165.0
2374,The Magnificent Seven (2016),Sony,93.4,68.9,2016,162.3
2375,Jack Reacher: Never Go Back,Par.,58.7,103.4,2016,162.1
2376,Don't Breathe,SGem,89.2,67.9,2016,157.1
2377,Ip Man 3,WGUSA,2.7,154.2,2016,156.9
2378,The Accountant,WB,86.3,68.9,2016,155.2
2379,Gods of Egypt,LG/S,31.2,119.5,2016,150.7
2380,Lights Out,WB (NL),67.3,81.6,2016,148.9
2381,Pete's Dragon (2016),BV,76.2,67.5,2016,143.7
2382,Sausage Party,Sony,97.7,43.0,2016,140.7
2383,Lion,Wein.,51.7,88.6,2016,140.3
2384,Detective Chinatown (Tang ren jie tan an),CL,0.474,125.4,2016,125.874
2385,Mechanic: Resurrection,LG/S,21.2,104.5,2016,125.7
2386,Ride Along 2,Uni.,91.2,33.4,2016,124.6
2387,Deepwater Horizon,LG/S,61.4,60.4,2016,121.8
2388,Allied,Par.,40.1,79.4,2016,119.5
2389,The Shallows,Sony,55.1,64.0,2016,119.1
2390,The Purge: Election Year,Uni.,79.2,39.4,2016,118.6
2391,Why Him?,Fox,60.3,57.8,2016,118.1
2393,Office Christmas Party,Par.,54.8,59.7,2016,114.5
2394,How to Be Single,WB (NL),46.8,65.5,2016,112.3
2395,10 Cloverfield Lane,Par.,72.1,38.1,2016,110.2
2396,The 5th Wave,Sony,34.9,75.0,2016,109.9
2397,Neighbors 2: Sorority Rising,Uni.,55.5,52.6,2016,108.1
2398,Cold War 2,WGUSA,0.561,102.6,2016,103.161
2399,The Little Prince,EOne,1.3,96.2,2016,97.5
2400,Dirty Grandpa,LGF,35.6,58.5,2016,94.1
2401,Ben-Hur (2016),Par.,26.4,67.7,2016,94.1
2402,Money Monster,TriS,41.0,52.3,2016,93.3
2403,My Big Fat Greek Wedding 2,Uni.,59.7,29.2,2016,88.9
2404,Collateral Beauty,WB (NL),31.0,57.5,2016,88.5
2405,Train to Busan,WGUSA,2.1,85.4,2016,87.5
2406,Sultan,Yash,6.2,81.1,2016,87.3
2407,War Dogs,WB,43.0,43.2,2016,86.2
2408,Nerve,LGF,38.6,46.7,2016,85.3
2409,Ouija: Origin of Evil,Uni.,35.1,46.6,2016,81.7
2410,Manchester by the Sea,RAtt.,47.7,31.3,2016,79.0
2411,The Boss,Uni.,63.3,15.6,2016,78.9
2412,Shin Godzilla,FUN,1.9,76.0,2016,77.9
2413,Mike and Dave Need Wedding Dates,Fox,46.0,31.1,2016,77.1
2414,Boo! A Madea Halloween,LGF,73.2,1.6,2016,74.8
2415,Miracles from Heaven,TriS,61.7,12.2,2016,73.9
2416,I Am Not Madame Bovary,WGUSA,0.437,70.4,2016,70.837
2417,Kubo and the Two Strings,Focus,48.0,21.9,2016,69.9
2418,13 Hours: The Secret Soldiers of Benghazi,Par.,52.9,16.6,2016,69.5
2419,Moonlight (2016),A24,27.9,37.2,2016,65.1
2420,Fences,Par.,57.7,6.7,2016,64.4
2421,The Boy (2016),STX,35.8,28.4,2016,64.2
2422,"Hail, Caesar!",Uni.,30.5,33.1,2016,63.6
2423,The Nice Guys,WB,36.3,26.5,2016,62.8
2424,L.O.R.D: Legend of Ravaging Dynasties,AR,0.35,57.7,2016,58.05
2425,Nine Lives (2016),EC,19.7,38.1,2016,57.8
2426,Zoolander 2,Par.,28.8,27.9,2016,56.7
2427,Barbershop: The Next Cut,WB (NL),54.0,1.0,2016,55.0
2428,The Finest Hours,BV,27.6,24.5,2016,52.1
2429,Master,CJ,0.597,51.0,2016,51.597
2430,Patriots Day,LGF,31.9,18.7,2016,50.6
2431,Florence Foster Jenkins,Par.,27.4,21.5,2016,48.9
2432,Mother's Day,ORF,32.5,15.9,2016,48.4
2433,Luck-Key,JBG,0.467,47.7,2016,48.167
2434,Yo-kai Watch: The Movie,Elev.,0.257,47.6,2016,47.857
2435,A Monster Calls,Focus,3.7,43.6,2016,47.3
2436,Eddie the Eagle,Fox,15.8,30.4,2016,46.2
2437,Risen,Sony,36.9,9.2,2016,46.1
2438,Blair Witch,LGF,20.8,24.4,2016,45.2
2439,Cafe Society,LGF,11.1,32.7,2016,43.8
2440,Almost Christmas,Uni.,42.2,0.422,2016,42.622
2441,The Witch,A24,25.1,15.3,2016,40.4
2442,The Wild Life (2016),LG/S,8.0,31.5,2016,39.5
2443,Criminal (2016),LG/S,14.7,24.1,2016,38.8
2444,Absolutely Fabulous: The Movie,FoxS,4.8,33.1,2016,37.9
2445,Hell or High Water,LGF,27.0,10.9,2016,37.9
2446,The Forest,Focus,26.6,11.0,2016,37.6
2447,Snowden,ORF,21.6,15.7,2016,37.3
2448,Billy Lynn's Long Halftime Walk,TriS,1.7,29.2,2016,30.9
2449,When the Bough Breaks,SGem,29.7,0.911,2016,30.611
2450,Nocturnal Animals,Focus,10.7,19.6,2016,30.3
2451,Keeping Up with the Joneses,Fox,14.9,15.0,2016,29.9
2452,Ae Dil Hai Mushkil,FIP,4.3,24.1,2016,28.4
2453,Fan,Yash,2.3,25.9,2016,28.2
2454,M.S. Dhoni: The Untold Story,FIP,1.8,26.0,2016,27.8
2455,The Light Between Oceans,BV,12.5,13.4,2016,25.9
2456,The Brothers Grimsby,Sony,6.9,18.3,2016,25.2
2457,Race (2016),Focus,19.2,5.9,2016,25.1
2458,Free State of Jones,STX,20.8,4.2,2016,25.0
2459,A Beautiful Planet,Imax,15.5,9.4,2016,24.9
2460,God's Not Dead 2,PFR,20.8,3.7,2016,24.5
2461,Silence (2016),Par.,7.1,16.6,2016,23.7
2462,Middle School: The Worst Years of My Life,LGF,20.0,3.3,2016,23.3
2463,Triple 9,ORF,12.6,10.5,2016,23.1
2465,Captain Fantastic,BST,5.9,16.9,2016,22.8
2466,Live By Night,WB,10.4,12.3,2016,22.7
2467,Julieta,SPC,1.5,21.0,2016,22.5
2469,Fifty Shades of Black,ORF,11.7,10.5,2016,22.2
